City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
385,Viedma,AR,-40.8135,-62.9967,44.38,87,100,6.69,overcast clouds
386,Torrington,US,41.8007,-73.1212,66.0,96,69,6.93,broken clouds
387,Quballat,TN,36.5418,9.6633,69.64,71,100,0.69,overcast clouds
388,Lekoni,GA,-1.5843,14.2591,71.44,90,99,4.56,overcast clouds
389,Zabaykalsk,RU,49.6333,117.3167,57.16,37,59,14.65,broken clouds
390,Vrangel,RU,42.7297,133.0839,63.84,61,0,9.42,clear sky
391,Kiunga,PG,-6.1219,141.2906,75.78,92,98,1.45,light rain
392,Popondetta,PG,-8.7537,148.2534,79.84,87,99,4.07,light rain
393,Marawi,PH,7.9986,124.2928,78.71,77,98,1.54,light rain
394,Dhangadhi,NP,28.7079,80.5961,89.17,62,97,2.91,moderate rain
395,Lucapa,AO,-8.4192,20.7447,70.02,85,100,5.64,overcast clouds
396,Grafton,US,42.207,-71.6856,63.91,89,51,5.01,broken clouds
397,Conde,BR,-7.2597,-34.9075,74.66,94,75,4.61,broken clouds
398,Suntar,RU,62.1444,117.6319,37.72,49,60,5.41,broken clouds
399,High Level,CA,58.5169,-117.136,46.51,100,0,2.3,clear sky
400,Sola,VU,-13.8833,167.55,80.51,74,66,10.4,broken clouds
401,Sosnovo-Ozerskoye,RU,52.5249,111.5418,48.88,38,19,13.89,few clouds
402,North Platte,US,41.1239,-100.7654,55.29,80,0,3.53,light rain
403,Stillwater,US,36.1156,-97.0584,79.07,68,0,17.27,clear sky
404,Shenjiamen,CN,29.9576,122.298,74.21,64,79,6.26,broken clouds
405,Grootfontein,NA,-19.5667,18.1167,45.97,27,0,4.61,clear sky
406,Khambhat,IN,22.3,72.6167,86.2,54,96,11.48,overcast clouds
407,Karasjok,NO,69.4719,25.5112,46.65,90,99,2.15,overcast clouds
408,Nizwa,OM,22.9333,57.5333,91.63,28,0,3.49,clear sky
409,Berlevag,NO,70.8578,29.0864,50.0,87,100,13.8,light rain
410,Riyadh,SA,24.6877,46.7219,87.94,15,0,9.46,clear sky
411,Alice Springs,AU,-23.7,133.8833,85.55,14,0,6.91,clear sky
412,Port Blair,IN,11.6667,92.75,84.24,70,75,8.05,broken clouds
413,Mobaye,CF,4.319,21.1786,72.55,95,93,1.25,overcast clouds
414,Bambanglipuro,ID,-7.95,110.2833,82.09,72,89,15.14,overcast clouds
415,Arman,RU,59.7,150.1667,48.02,47,49,25.99,scattered clouds
416,Macomb,US,40.4592,-90.6718,60.84,66,91,11.01,overcast clouds
417,Manga,BF,11.6636,-1.0731,71.89,93,61,3.49,broken clouds
418,Manta,EC,-0.95,-80.7333,71.38,88,100,9.22,overcast clouds
419,Ciro Marina,IT,39.3732,17.126,65.86,55,4,23.06,clear sky
